start_time,end_time,id
1238176530.304203,1238176537.558593,37EC438C16
1238198056.747073,1238198066.205078,8B6E02ADE0
1238197723.625002,1238197731.616333,992F62D8EF
1238175968.176755,1238175975.895263,946ABDE665
1238199768.547848,1238199776.698242,C0B54809BE
1238177584.912113,1238177592.414062,CCCA3C0E9B
1238193036.988278,1238193044.05957,DAFB4116DA
1238177950.67188,1238177958.277343,165099886E
1238167625.856443,1238167633.394043,1B78D598BE
1238168892.61621,1238168899.804687,56B573856C
1238169124.890628,1238169133.148437,B5E8D58E85
1238241031.983402,1238241040.09375,E6469B94E9
1238245896.9531262,1238245905.055236,7C95E33C2F
1238224076.3085968,1238224083.508789,E03A826CCA
1238244859.349613,1238244867.842773,1DA29F3985
1238243215.126952,1238243223.957031,22A9805FF8
1238243384.140868,1238243391.737304,E7FF23F7F9
1238235377.189756,1238235384.621582,9F1CCF2153
1238212532.49805,1238212540.0,19F6F75000
1238234597.281011,1238234604.616699,9B8F91B686
1238235774.75,1238235782.183593,27DF3DD5B4
1238236367.333987,1238236375.351074,8C78F50CB2
1238241248.1484408,1238241256.063964,DE7682F48F
1238241470.384769,1238241477.71875,F3A52CFE21
1238245239.070804,1238245246.492187,3A6D0138A1
1238211785.922856,1238211794.428711,CCAD10A6DE
1238214704.219727,1238214712.0,B21DF0703A
1238206787.099241,1238206795.565429,A409F38F9D
1238226179.037114,1238226186.148437,6B2FAD01F4
1238246404.629634,1238246412.054687,F730776B16
1238205330.877927,1238205338.934814,C8A5D7182B
1238210045.599606,1238210052.894531,4524C626E9
1238214762.2539032,1238214769.949218,91CA6D527F
1238217049.084962,1238217056.926757,06F870AD0A
1238240084.943362,1238240092.472656,FE48A69860
1238236096.270504,1238236104.323486,08AC6E87C7
1238238181.026366,1238238189.0,590CB12AE6
1238207590.988281,1238207598.266601,C0A91175DB
1238228167.6735811,1238228174.892578,CAAB820190
1238338987.166996,1238338995.614257,E51C6CC4A6
1238335866.0,1238335873.081054,2D79BA2587
1238336064.541997,1238336073.215088,831A7DDF6D
1238334939.62549,1238334950.405273,0A87882122
1238306596.558592,1238306605.160156,5F8E142F69
1238388602.100582,1238388609.194336,DBB0A6AE1E
1238315949.008062,1238315956.80664,FB034BB966
1238316101.322267,1238316108.810547,F72BFF52FC
1238316208.050784,1238316215.321289,9536231406
1238308390.236578,1238308399.2229,F12B497FE2
1238334054.375,1238334065.042968,D63F80CB1E
1238395522.444338,1238395529.652343,22FCB9DA20
1238364019.177734,1238364026.615234,9CB062BEE7
1238364452.9478118,1238364460.976562,ED385D72DC
1238316323.703126,1238316330.942382,33C6739927
1238320701.6699238,1238320709.321289,3D6A32CDC9
1238320812.898563,1238320823.838623,B43048F7BA
1238321128.563473,1238321136.0,CD237009CE
1238344651.5,1238344659.126953,7ABB56D94C
1238322297.358521,1238322304.36914,821BA91CC8
1238322329.095699,1238322338.560547,9162BD8D0C
1238333460.49609,1238333468.162597,A3A798912A
1238393789.791019,1238393797.571777,80EF1B5475
1238325348.0,1238325358.623047,89D6F7A172
1238325366.2255871,1238325374.0,7EFC81FBA9
1238318611.210939,1238318620.264648,4C586704F2
1238379205.409182,1238379212.512451,753B3775F6
1238326155.365231,1238326163.277343,F147464841
1238358938.0480912,1238358946.224487,A0ED87EBBA
1238382504.40723,1238382512.52771,7D9B128F0A
1238366596.549192,1238366604.171081,C0A9DD9698
1238380337.5029328,1238380345.642822,152B22BF6C
1238358100.4326189,1238358109.074218,342489B258
1238323020.8984408,1238323028.0,C67B41480F
1238350226.606817,1238350235.943359,92EE5C6677
1238316989.212651,1238316996.616211,0CC8439008
1238317347.544918,1238317355.129882,FD7241B04B
1238310222.138672,1238310229.586914,525CB20F37
1238310396.011715,1238310404.513183,6C5080DB6D
1238310466.832031,1238310476.46875,56CA123A63
1238325827.532713,1238325841.123535,1A5CB7C0DD
1238321519.3584,1238321527.251098,2833B29466
1238328227.464849,1238328237.1333,77CAED6442
1238340554.9252882,1238340564.256347,A27540305B
1238336296.1601532,1238336303.30188,F8DE57B145
1238322717.383788,1238322725.03125,B55681FAB4
1238368028.429684,1238368035.43164,A189D3C495
1238310989.575195,1238310998.762695,58A4F791D6
1238367404.5878909,1238367411.675293,4DB8D68D85
1238367411.6762729,1238367418.849609,9CA687B488
1238396205.225582,1238396213.195312,E0E0BE6A04
1238331145.132815,1238331153.131836,F1BFE9A2FA
1238331361.291992,1238331370.598632,DF0B4FA100
1238326489.901371,1238326499.978515,8AE699B74F
1238319745.808596,1238319753.008789,909ED65A47
1238303844.0273478,1238303851.152343,81AA38A0C1
1238363410.0,1238363417.085937,6EC009E7B5
1238363684.740231,1238363694.621093,DCC105CA7D
1238364615.5336928,1238364623.040039,A897E19FC1
1238334724.59375,1238334732.230468,24054C7C20
1238392153.128904,1238392160.222656,C0CC0B1C1C
1238333650.543943,1238333659.478759,EAAB4554D5
1238305908.332032,1238305915.953125,999D40F6E7
